       1 -0.32302717E+01 -0.29674180E+01 -0.13999999E+02 -0.26041839E+01 -0.13855793E+02
    2000 -0.34782814E+01 -0.32773942E+01 -0.38659025E+01 -0.28937422E+01 -0.39850044E+01
    4000 -0.34373133E+01 -0.32218638E+01 -0.40869775E+01 -0.28491179E+01 -0.40747274E+01
    6000 -0.34353139E+01 -0.32125277E+01 -0.41862386E+01 -0.28346626E+01 -0.41531295E+01
    8000 -0.34509163E+01 -0.32334304E+01 -0.43339641E+01 -0.28587703E+01 -0.41642122E+01
   10000 -0.34556401E+01 -0.32314411E+01 -0.44004703E+01 -0.28537358E+01 -0.42506099E+01
   12000 -0.34481556E+01 -0.32190170E+01 -0.44034547E+01 -0.28410923E+01 -0.42511145E+01
   14000 -0.40195321E+01 -0.40153061E+01 -0.44357035E+01 -0.37665622E+01 -0.43147466E+01
   16000 -0.40557124E+01 -0.40482751E+01 -0.44387674E+01 -0.37945825E+01 -0.43487360E+01
   18000 -0.40837547E+01 -0.40722232E+01 -0.44305502E+01 -0.38150627E+01 -0.43969136E+01
